package_name,package_type,versions,xray_ids
ngx-wooapi,npm,[12.0.1],XRAY-898492
nitrodeploy,npm,[1.0.8],XRAY-898674
nitro-graphql,npm,[1.5.12],XRAY-898639
nitro-kutu,npm,[0.1.1],XRAY-898615
nitroping,npm,[0.1.1],XRAY-898693
normal-store,npm,"[1.3.4], [1.3.3], [1.3.2], [1.3.1]",XRAY-898034
@ntnx/passport-wso2,npm,[0.0.3],XRAY-898088
@ntnx/t,npm,[0.0.101],XRAY-898391
nuxt-keycloak,npm,[0.2.2],XRAY-898728
obj-to-css,npm,"[1.0.2], [1.0.3]",XRAY-897941
okta-react-router-6,npm,[5.0.1],XRAY-898411
@oku-ui/accordion,npm,[0.6.2],XRAY-898627
@oku-ui/alert-dialog,npm,[0.6.2],XRAY-898698
@oku-ui/arrow,npm,[0.6.2],XRAY-898655
@oku-ui/aspect-ratio,npm,[0.6.2],XRAY-898681
@oku-ui/avatar,npm,[0.6.2],XRAY-898626
@oku-ui/checkbox,npm,[0.6.3],XRAY-898706
@oku-ui/collapsible,npm,[0.6.2],XRAY-898605
@oku-ui/collection,npm,[0.6.2],XRAY-898614
@oku-ui/dialog,npm,[0.6.2],XRAY-898641
@oku-ui/direction,npm,[0.6.2],XRAY-898718
@oku-ui/dismissable-layer,npm,[0.6.2],XRAY-898713
@oku-ui/focus-guards,npm,[0.6.2],XRAY-898696
@oku-ui/focus-scope,npm,[0.6.2],XRAY-898662
@oku-ui/hover-card,npm,[0.6.2],XRAY-898625
@oku-ui/label,npm,[0.6.2],XRAY-898612
@oku-ui/menu,npm,[0.6.2],XRAY-898719
@oku-ui/motion,npm,[0.4.4],XRAY-898729
@oku-ui/motion-nuxt,npm,[0.2.2],XRAY-898636
@oku-ui/popover,npm,[0.6.2],XRAY-898610
@oku-ui/popper,npm,[0.6.2],XRAY-898712
@oku-ui/portal,npm,[0.6.2],XRAY-898722
@oku-ui/presence,npm,[0.6.2],XRAY-898654
@oku-ui/primitive,npm,[0.6.2],XRAY-898661
@oku-ui/primitives,npm,[0.7.9],XRAY-898723
@oku-ui/primitives-nuxt,npm,[0.3.1],XRAY-898671
@oku-ui/progress,npm,[0.6.2],XRAY-898642
@oku-ui/provide,npm,[0.6.2],XRAY-898682
@oku-ui/radio-group,npm,[0.6.2],XRAY-898697
@oku-ui/roving-focus,npm,[0.6.2],XRAY-898699
@oku-ui/scroll-area,npm,[0.6.2],XRAY-898660
@oku-ui/separator,npm,[0.6.2],XRAY-898691
@oku-ui/slider,npm,[0.6.2],XRAY-898657
@oku-ui/slot,npm,[0.6.2],XRAY-898727
@oku-ui/switch,npm,[0.6.2],XRAY-898621
@oku-ui/tabs,npm,[0.6.2],XRAY-898684
@oku-ui/toast,npm,[0.6.2],XRAY-898620
@oku-ui/toggle,npm,[0.6.2],XRAY-898720
@oku-ui/toggle-group,npm,[0.6.2],XRAY-898638
@oku-ui/toolbar,npm,[0.6.2],XRAY-898683
@oku-ui/tooltip,npm,[0.6.2],XRAY-898686
@oku-ui/use-composable,npm,[0.6.2],XRAY-898688
@oku-ui/utils,npm,[0.6.2],XRAY-898702
@oku-ui/visually-hidden,npm,[0.6.2],XRAY-898613
open2internet,npm,[0.1.1],XRAY-898536
orbit-boxicons,npm,[2.1.3],XRAY-898177
@orbitgtbelgium/mapbox-gl-draw-cut-polygon-mode,npm,[2.0.5],XRAY-898256
@orbitgtbelgium/mapbox-gl-draw-scale-rotate-mode,npm,[1.1.1],XRAY-898379
@orbitgtbelgium/orbit-components,npm,[1.2.9],XRAY-898520
@orbitgtbelgium/time-slider,npm,[1.0.187],XRAY-898212
orbit-nebula-draw-tools,npm,[1.0.10],XRAY-898254
orbit-nebula-editor,npm,[1.0.2],XRAY-898206
orbit-soap,npm,[0.43.13],XRAY-898498
orchestrix,npm,[12.1.2],XRAY-897943
@osmanekrem/bmad,npm,[1.0.6],XRAY-897907
@osmanekrem/error-handler,npm,[1.2.2],XRAY-898526
package-tester,npm,[1.0.1],XRAY-898056
parcel-plugin-asset-copier,npm,"[1.1.2], [1.1.3]",XRAY-898502
pdf-annotation,npm,[0.0.2],XRAY-898418
pergel,npm,[0.13.2],XRAY-898635
@pergel/cli,npm,[0.11.1],XRAY-898652
@pergel/module-box,npm,[0.6.1],XRAY-898629
@pergel/module-graphql,npm,[0.6.1],XRAY-898708
@pergel/module-ui,npm,[0.0.9],XRAY-898676
@pergel/nuxt,npm,[0.25.5],XRAY-898710
pergeltest,npm,[0.0.25],XRAY-898644
piclite,npm,[1.0.1],XRAY-897951
pico-uid,npm,"[1.0.3], [1.0.4]",XRAY-898364
pkg-readme,npm,[1.1.1],XRAY-898475
